density,nelements,avg_electronegativity,avg_atomic_mass,vol_per_site,band_gap,avg_ve,range_ve,avg_group,std_group,avg_period,max_en,min_en,range_en,avg_rad,range_rad,n_unique,total_ve,density_ve_ratio
3.43312037547591,3,3.49875,37.0975274,17.94341205219875,1.68059999999999,6.0,6.0,16.0,2.0,2.625,3.98,1.93,2.05,86.125,73.0,3.0,48.0,0.5628066189304771
6.42573302834992,3,2.886,46.1576,11.9280551623194,0.2921,4.8,5.0,14.8,1.9390719429665315,3.0,3.44,1.93,1.51,96.4,71.0,3.0,24.0,1.311374087418351
5.49303544362121,4,2.36333333333333,81.0308,24.49552899828871,1.38599999999999,4.666666666666667,5.0,14.666666666666666,1.795054935711501,4.0,2.58,1.93,0.6500000000000001,124.0,73.0,4.0,28.0,1.1523850581023518
5.62725555586381,4,3.13277777777777,55.8025249444444,16.466689981515668,1.25729999999999,4.5,6.0,14.5,2.5,3.6666666666666665,3.44,1.93,1.51,106.66666666666667,71.0,4.0,27.0,1.2233164251877848
4.79871618743279,3,2.85166666666666,74.4411281666666,25.759473295430997,0.8406,5.0,6.0,15.0,2.8284271247461903,3.8333333333333335,3.16,1.93,1.2300000000000002,114.0,45.0,3.0,30.0,0.9409247426338805
7.22244312533512,3,3.39833333333333,63.4713969666666,14.592947628083417,1.0268,5.0,6.0,15.0,2.8284271247461903,3.1666666666666665,3.98,1.93,2.05,95.33333333333333,73.0,3.0,30.0,1.4161653186931609
9.66719256736608,3,2.8375,84.20839225,14.46452256870675,0.652299999999999,3.5,5.0,13.5,2.5,3.75,3.44,1.93,1.51,108.5,71.0,3.0,14.0,2.6853312687127997
2.66732827232553,5,2.3152,28.9708616,18.035743098812098,3.29639999999999,3.44,6.0,11.04,5.895625496925666,2.36,2.96,1.93,1.03,81.16,107.0,5.0,86.0,0.7534825628038221
4.61216966183875,3,3.315,32.4454688,11.681480176744417,3.157,5.333333333333333,6.0,15.333333333333334,2.4267032964268394,2.5,3.98,1.93,2.05,85.0,73.0,3.0,32.0,0.8488655819335124
3.63252055191932,5,3.08111111111111,23.6320103111111,10.802933055164596,3.044,4.444444444444445,6.0,12.222222222222221,6.32065006814573,2.111111111111111,3.98,1.93,2.05,73.0,107.0,5.0,40.0,0.7993321507890925
5.73153553563091,4,3.10388888888888,56.46996,16.36046293116403,2.4344,5.166666666666667,6.0,15.166666666666666,1.9507833184532712,3.6666666666666665,3.44,1.93,1.51,108.66666666666667,83.0,4.0,31.0,1.0882662409425778
4.14786592860967,4,2.381,57.1186124,22.866623211222052,1.18379999999999,4.833333333333333,5.0,14.833333333333334,1.7716909687891083,3.8333333333333335,2.58,1.93,0.6500000000000001,119.33333333333333,54.0,4.0,29.0,0.840783634177636
4.99619164887575,4,2.363,85.2556123999999,28.33563741874545,1.2778,4.833333333333333,5.0,14.833333333333334,1.7716909687891083,4.333333333333333,2.55,1.93,0.6199999999999999,126.83333333333333,46.0,4.0,29.0,1.0127415504477872
5.66084614732116,3,3.582,50.2539892266666,14.741384978792468,0.3971,6.333333333333333,6.0,16.333333333333332,1.5776212754932306,2.7333333333333334,3.98,1.93,2.05,87.2,85.0,3.0,95.0,0.8799242716043255
6.62290493103995,3,2.32111111111111,99.4593777777777,24.937121106129833,0.5262,5.111111111111111,5.0,15.11111111111111,1.5234788000891208,4.222222222222222,2.58,1.93,0.6500000000000001,124.66666666666667,54.0,3.0,46.0,1.2709199228008434
5.55384121174097,4,2.57,83.96392,25.1043132184132,1.0752,5.2,6.0,15.2,2.2271057451320084,4.0,3.16,1.93,1.2300000000000002,120.0,57.0,4.0,26.0,1.0478945682530132
6.44435090185347,2,2.445,93.8861,24.19196894071595,0.730399999999999,4.0,6.0,14.0,3.0,4.5,2.96,1.93,1.03,129.0,30.0,2.0,8.0,1.5717929028910904
5.58262271223353,2,2.545,71.6606,21.3152906742622,0.9522,4.0,6.0,14.0,3.0,4.0,3.16,1.93,1.2300000000000002,121.5,45.0,2.0,8.0,1.3616152956667147
